Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-07-26,Goodnight Darling,2021,,3.5,,"youtube, alter",2021-07-26
2021-08-17,Identikit,2016,,,,youtube,2021-08-16
2021-09-08,The Misadventures of Rick and Morty,2015,,4,,youtube,2021-09-07
2021-11-22,Mr. Robot: Decoded,2016,,5,,,2021-11-21
2022-01-25,The Backrooms,2022,,4.5,,youtube,2022-01-18
2022-03-04,POLYBIUS - The Video Game That Doesn't Exist,2017,,4.5,,youtube,2022-03-04
2022-03-05,Trackers: The Sound of 16-Bit,2021,,5,,youtube,2022-03-04
2022-03-29,The backrooms - First Contact,2022,,3.5,,youtube,2022-03-28
2022-11-13,Making ‘Mr. Robot’,2018,,5,Yes,primevideo,2022-11-12
2022-12-26,Hatched,2021,,3.5,,youtube,2022-12-25
2023-06-17,TDF Really Works,2011,,,,youtube,2023-06-16
2023-07-30,TDF Really Works,2011,,,Yes,,2023-07-29
2023-09-25,Minecraft: The Story Of Minecraft,2015,,2,,youtube,2023-09-24
2024-12-14,Severance,,,4.5,,garbage,2024-12-14
2025-01-03,The Note,2024,,4.5,,"omeleto, youtube",2025-01-02
2025-05-26,The Rehearsal: My Controls,2025,,5,,max,2025-05-26
2026-01-02,Hold Your Back,2024,,3,,youtube,2026-01-01
2026-01-05,Chad GPT,2025,,3,,youtube,2026-01-04
2026-01-10,Snow Angel,2022,,3.5,,youtube,2026-01-09
